"p","e","flux inf","flux hor","flux L inf","flux L hor"
141.13778530586214,0.5281217896800092,1.1497909562184094e-9,-2.6855145781668804e-13,1.7158356285835132e-6,-2.8898441896626687e-10
142.30534245158972,0.5557920493062276,1.0442246809865923e-9,-2.441990883013648e-13,1.5730114420893758e-6,-2.6261656659719676e-10
143.20864271401948,0.577163859753386,9.609854273466125e-10,-2.2358733546239436e-13,1.4625706804201952e-6,-2.4183137894881523e-10
143.82422254976956,0.5917109761193029,9.034372875302982e-10,-2.0872885226090146e-13,1.387309428326595e-6,-2.2745553007679452e-10
144.13607100445032,0.5990752001199384,8.740407524038321e-10,-2.0098053163936223e-13,1.3491812288984483e-6,-2.2010840654835822e-10
106.29706778897602,0.0009247998800616108,5.145130799864129e-9,-1.182703091893458e-12,5.639975485870697e-6,-1.2964501099370663e-9
106.5581164596022,0.008289023880697022,5.094736636024863e-9,-1.1670156232240336e-12,5.605121488407169e-6,-1.283754985223925e-9
107.07470006792168,0.022836140246613956,4.995318457885971e-9,-1.1372265461350858e-12,5.5344704754393575e-6,-1.2586973836072872e-9
107.83578338384248,0.04420795069377237,4.84968106995601e-9,-1.0961965047527537e-12,5.426531086991693e-6,-1.2219628905090912e-9
108.82482598890455,0.07187821031999073,4.662123349378829e-9,-1.047507533410508e-12,5.279953780509227e-6,-1.174611816823031e-9
110.01987542178856,0.1051655855009449,4.438397441894187e-9,-9.947970419768169e-13,5.094346445525612e-6,-1.1180763348211996e-9
111.39379383685495,0.14325043058521536,4.1855022041567666e-9,-9.411440379768485e-13,4.871017215259012e-6,-1.0541145156946867e-9
112.91466243779794,0.18519497029047305,3.911317194522977e-9,-8.886609609892905e-13,4.613474774123164e-6,-9.847203570940478e-10
114.54638513912607,0.22996639084322837,3.62414242164293e-9,-8.383802096755901e-13,4.327576272526837e-6,-9.120070013936978e-10
116.24948739011928,0.2764622712816465,3.3322298564758143e-9,-7.904176853397362e-13,4.02130017416426e-6,-8.380852076021014e-10
117.98208413965436,0.32353772871835346,3.0433346685138443e-9,-7.442757076594e-13,3.7041866208577663e-6,-7.64949606103173e-10
119.70097586114399,0.37003360915677164,2.7642375286286995e-9,-6.990771816812683e-13,3.3865326432593632e-6,-6.943627623695949e-10
121.36282392088579,0.41480502970952693,2.5002684559322676e-9,-6.53666715075332e-13,3.078475798969135e-6,-6.277351810512943e-10
122.92535508777283,0.4567495694147846,2.2551905218943637e-9,-6.068809735763725e-13,2.789192898680994e-6,-5.660708622338443e-10
124.34854769111948,0.4948344144990551,2.031906936422102e-9,-5.583377132130412e-13,2.526486103782539e-6,-5.101004124428512e-10
125.59575698261682,0.5281217896800092,1.8337831899268578e-9,-5.093901675816246e-13,2.2968532365560608e-6,-4.605959024811882e-10
126.63474326981364,0.5557920493062276,1.6655302062964078e-9,-4.633015252103505e-13,2.1058002717766158e-6,-4.186314656807611e-10
127.43857252075875,0.577163859753386,1.5328330942626196e-9,-4.242856588504717e-13,1.958020340839367e-6,-3.855487086864537e-10
127.9863649867289,0.5917109761193029,1.4410808675207942e-9,-3.9615359271443554e-13,1.8572929389921284e-6,-3.6266471237554356e-10
128.26387283230414,0.5990752001199384,1.3942096863385305e-9,-3.814807833495682e-13,1.8062574298746693e-6,-3.5096820971535083e-10
90.48147057919648,0.0009247998800616108,9.778225198287025e-9,-2.860394368013049e-12,8.418320412266634e-6,-2.462581527967592e-9
90.70367866171756,0.008289023880697022,9.682504008739705e-9,-2.822486444532802e-12,8.366338287262749e-6,-2.4384974197433605e-9
91.1434014643319,0.022836140246613956,9.49369585217862e-9,-2.7504911755509582e-12,8.26098725879326e-6,-2.390959629797003e-9
