"p","e","flux inf","flux hor","flux L inf","flux L hor"
111.05105243213033,0.07187821031999073,4.30422327706983e-9,1.3458090560728262e-14,5.023826612673102e-6,1.52477977121021e-11
112.25441981633502,0.1051655855009449,4.099996126287766e-9,1.3038777813411512e-14,4.8489081569244854e-6,1.4496427588380357e-11
113.63121988416138,0.14325043058521536,3.86977145501893e-9,1.2787991218644146e-14,4.638834899197076e-6,1.373915133137049e-11
115.14755124860207,0.18519497029047305,3.6206783535958532e-9,1.2720071322931453e-14,4.396863117064888e-6,1.3006133441613044e-11
116.7660767990493,0.22996639084322837,3.360089074364129e-9,1.2807686332933234e-14,4.128358615866922e-6,1.231080656447784e-11
118.44694306487268,0.2764622712816465,3.0952482736659098e-9,1.2992612643417347e-14,3.840620991625462e-6,1.1652501874368445e-11
120.1487615401324,0.32353772871835346,2.8329331469409726e-9,1.319610203355281e-14,3.5424111499010337e-6,1.1021118500023263e-11
121.8296278059558,0.37003360915677164,2.5790776323616984e-9,1.3321384203986159e-14,3.2432473272141113e-6,1.0400554371227574e-11
123.44815335640301,0.41480502970952693,2.3383728345583132e-9,1.3254932706898506e-14,2.952580198516627e-6,9.770390424771775e-12
124.9644847208437,0.4567495694147846,2.1141720997323605e-9,1.2890992119482274e-14,2.6790526911566133e-6,9.110175062854604e-12
126.34128478867007,0.4948344144990551,1.9091448453196617e-9,1.2189138967341171e-14,2.430104654230281e-6,8.412321888298788e-12
127.54465217287475,0.5281217896800092,1.7265026769279438e-9,1.122132691709447e-14,2.2120226452168744e-6,7.697197684700767e-12
128.54495597471129,0.5557920493062276,1.5708150112029852e-9,1.0155812014858734e-14,2.0302124837022874e-6,7.015772186234193e-12
129.3175653947604,0.577163859753386,1.447634973362936e-9,9.186701323727982e-15,1.8893386375776614e-6,6.434360935458325e-12
129.8434562249569,0.5917109761193029,1.36225871462443e-9,8.467819311497117e-15,1.793191840612247e-6,6.013122659830227e-12
130.10967928772976,0.5990752001199384,1.3185803426609047e-9,8.089572997664069e-15,1.7444370681213938e-6,5.7928562733172395e-12
93.52061816382913,0.0009247998800616108,8.581548256653931e-9,4.310809852617561e-14,7.761157760494722e-6,3.898679533552528e-11
93.75011634414469,0.008289023880697022,8.497561777475426e-9,4.239659206830226e-14,7.713237881660964e-6,3.8467801608781965e-11
94.20346169791567,0.022836140246613956,8.332186143403556e-9,4.113503785448958e-14,7.616280909536641e-6,3.748550764569577e-11
94.86949135796523,0.04420795069377237,8.090613237834222e-9,3.959932710114108e-14,7.468540284938386e-6,3.613979547137912e-11
95.73180546363726,0.07187821031999073,7.780547572481087e-9,3.810279695637407e-14,7.26849447451364e-6,3.455456005832353e-11
96.76917097979367,0.1051655855009449,7.411949359238165e-9,3.6915777627616163e-14,7.015860252553615e-6,3.285387721060228e-11
97.95604452460792,0.14325043058521536,6.996556324154833e-9,3.6206508403970023e-14,6.71252465738581e-6,3.114095153824124e-11
99.2632013323992,0.18519497029047305,6.547229751545797e-9,3.601587870779603e-14,6.363186118975343e-6,2.948406211524447e-11
100.65845486435504,0.22996639084322837,6.077239549086464e-9,3.6266855280086735e-14,5.975569339428187e-6,2.7913432954945445e-11
102.1074493479376,0.2764622712816465,5.599602423960091e-9,3.6794958429560035e-14,5.56017564691177e-6,2.642725448029381e-11
103.57450573002416,0.32353772871835346,5.126477288085747e-9,3.73775038556145e-14,5.129607983927913e-6,2.5002243319627064e-11
