"p","e","flux inf","flux hor","flux L inf","flux L hor"
124.13808743939444,0.0009247998800616108,2.7673950274876603e-9,-1.521196408272828e-12,3.829693152949901e-6,-2.1051225348096625e-9
124.44407860771582,0.008289023880697022,2.740191573911498e-9,-1.5009101090205907e-12,3.8059386060059753e-6,-2.0843787870347295e-9
125.05479982960011,0.022836140246613956,2.6860729603758415e-9,-1.4620735530490789e-12,3.7573949378636792e-6,-2.043109491191214e-9
125.96668693707717,0.04420795069377237,2.605819570447619e-9,-1.40788524539863e-12,3.6823906897043105e-6,-1.981907761947538e-9
127.17206898720595,0.07187821031999073,2.501012021863078e-9,-1.3424826754421225e-12,3.5793084531135785e-6,-1.901978365645762e-9
128.6570733847694,0.1051655855009449,2.3742910694099825e-9,-1.2702490375195607e-12,3.4473859979320617e-6,-1.8053377397233207e-9
130.39975877342226,0.14325043058521536,2.2294351852342944e-9,-1.1951055897757084e-12,3.2874162288191533e-6,-1.694873752044174e-9
132.36890347328412,0.18519497029047305,2.071199517274252e-9,-1.119985370805192e-12,3.1021667293003994e-6,-1.57422217502699e-9
134.52369613067475,0.22996639084322837,1.904954294430757e-9,-1.0466360819041929e-12,2.8964218319429247e-6,-1.4474892035333407e-9
136.81437307858388,0.2764622712816465,1.7362223933738552e-9,-9.757638381095573e-13,2.6766544983277226e-6,-1.3188977416287916e-9
139.18368221970113,0.32353772871835346,1.5702092587793801e-9,-9.073539787623613e-13,2.4504179235486785e-6,-1.1924327517303142e-9
141.56895619090974,0.37003360915677164,1.4113690901347295e-9,-8.409097460039934e-13,2.225587802751012e-6,-1.0715204522660577e-9
143.90454860026287,0.41480502970952693,1.2630614216194446e-9,-7.75542707175156e-13,2.0096012353400208e-6,-9.58768978137352e-10
146.12440757225042,0.4567495694147846,1.1274791141526715e-9,-7.102914977299943e-13,1.8088642736374658e-6,-8.558855889782542e-10
148.16460650389243,0.4948344144990551,1.0060483557322077e-9,-6.450421140550904e-13,1.6284972955155788e-6,-7.639341680110308e-10
149.96570285019288,0.5281217896800092,9.00155178058258e-10,-5.81562764250377e-13,1.4724545766192851e-6,-6.838771377070221e-10
151.47484002339814,0.5557920493062276,8.116569794406898e-10,-5.235803593178264e-13,1.3438354422511541e-6,-6.170132843041423e-10
152.64754055426644,0.577163859753386,7.427865710069527e-10,-4.756317437903312e-13,1.245121704297705e-6,-5.649659678054738e-10
153.4491607569852,0.5917109761193029,6.956345463648225e-10,-4.4161921244365124e-13,1.1782294190324931e-6,-5.293080952779369e-10
153.8559906543901,0.5990752001199384,6.716914767004079e-10,-4.240490251853524e-13,1.1444586331718983e-6,-5.111907208508849e-10
