"p","e","flux inf","flux hor","flux L inf","flux L hor"
126.0182042794744,0.0009247998800616108,2.6082442417361284e-9,-9.334219358326668e-13,3.691063109915419e-6,-1.3209320707528152e-9
126.32805767719957,0.008289023880697022,2.5826606755824452e-9,-9.210055824179003e-13,3.6682158333031095e-6,-1.307949577886446e-9
126.94294297123909,0.022836140246613956,2.5320443210297175e-9,-8.9737190609187e-13,3.6217738441514776e-6,-1.28226152812776e-9
127.8528821903695,0.04420795069377237,2.457581615195962e-9,-8.646951458724936e-13,3.5505414711565477e-6,-1.2444660615159679e-9
129.0421817826256,0.07187821031999073,2.3612111495409908e-9,-8.257200719434692e-13,3.4533982406811032e-6,-1.1955433670251497e-9
130.48883520983355,0.1051655855009449,2.245691255551628e-9,-7.83263514195859e-13,3.329912271836652e-6,-1.136891938633273e-9
132.16409202718566,0.14325043058521536,2.114557238246169e-9,-7.397433564043783e-13,3.1808924752653244e-6,-1.0703080538290445e-9
134.03236294550828,0.18519497029047305,1.971951781020037e-9,-6.968567824762676e-13,3.0087462663823494e-6,-9.978997273185142e-10
136.05156025876144,0.22996639084322837,1.82236203306122e-9,-6.554841923588444e-13,2.817563644615401e-6,-9.21952487925388e-10
138.17389368698588,0.2764622712816465,1.6703208710338283e-9,-6.158100996843348e-13,2.6129170848911987e-6,-8.447768986035091e-10
140.34707429026938,0.32353772871835346,1.520109212107796e-9,-5.775520067679038e-13,2.401422865113067e-6,-7.685595732074923e-10
142.5158348497323,0.37003360915677164,1.3754561865604475e-9,-5.401328827632244e-13,2.190143550712195e-6,-6.952171244422489e-10
144.6236553536626,0.41480502970952693,1.239263910656506e-9,-5.027525980878204e-13,1.9859372058419906e-6,-6.262580364255803e-10
146.6145819529997,0.4567495694147846,1.11353407337724e-9,-4.646013296285208e-13,1.7949072048947891e-6,-5.627268771242585e-10
148.43503960755123,0.4948344144990551,9.997193565950806e-10,-4.2547377409454683e-13,1.6221275918525964e-6,-5.053499054677572e-10
150.0355558920068,0.5281217896800092,8.993914200237921e-10,-3.8648393155554886e-13,1.4717035141469213e-6,-4.548636581860897e-10
151.37233132539336,0.5557920493062276,8.147036414003265e-10,-3.5015513114380924e-13,1.3470090024139107e-6,-4.1228065092716343e-10
